,3.5,4.5,5.5,6.5
1226,253,254,253,253
1227,253,254,253,253
1228,253,254,253,253
1229,253,254,253,253
1230,253,253,253,253
1231,253,253,253,253
1232,254,252,253,253
1233,254,252,253,253
1234,254,252,253,253
1235,254,252,253,253
1236,254,253,253,253
1237,254,253,253,253
1238,254,253,253,253
1239,254,253,253,253
1240,254,252,253,253
1241,254,252,253,253
1242,254,252,253,253
1243,254,252,253,253
1244,254,252,253,253
1245,254,252,253,253
1246,254,252,253,253
1247,254,252,253,253
1248,254,254,253,253
1249,254,254,253,253
1250,253,254,253,253
1251,253,254,253,253
1252,253,254,253,253
1253,253,254,253,253
1254,254,254,253,253
1255,254,254,253,253
1256,254,254,253,253
1257,254,254,253,253
1258,253,254,253,253
1259,253,254,253,253
1260,252,253,253,253
1261,252,252,253,253
1262,251,252,253,253
1263,251,251,253,253
1264,253,251,253,253
1265,253,251,253,253
1266,253,251,253,253
1267,253,251,253,253
1268,253,251,253,253
1269,253,251,253,253
1270,253,251,253,253
1271,253,251,253,253
1272,254,247,253,253
1273,254,247,253,253
1274,254,247,253,253
1275,254,247,253,253
1276,254,247,253,253
1277,254,247,253,253
1278,254,247,253,253
1279,254,247,253,253
1280,252,250,253,253
1281,252,250,253,253
1282,252,250,253,253
1283,252,250,253,253
1284,252,250,253,253
1285,252,250,253,253
1286,252,250,253,253
1287,252,250,253,253
1288,255,252,253,253
1289,255,252,253,253
1290,255,252,253,253
1291,255,252,253,253
1292,255,252,253,253
1293,255,252,253,253
1294,255,252,253,253
1295,255,252,253,253
1296,255,252,253,253
1297,255,252,253,253
1298,255,252,253,253
1299,255,252,253,253
1300,255,252,253,253
1301,255,252,253,253
1302,255,252,253,253
1303,255,252,253,253
1304,255,253,253,253
1305,254,253,253,253
1306,254,253,253,253
1307,254,253,253,253
1308,254,253,253,253
1309,254,253,253,253
1310,254,253,253,253
1311,254,253,253,253
1312,252,253,253,253
1313,252,253,253,253
1314,252,253,253,253
1315,252,253,253,253
1316,252,253,253,253
1317,252,253,253,253
1318,252,253,253,253
1319,252,253,253,253
1320,254,253,253,253
1321,254,253,253,253
1322,254,253,253,253
1323,254,253,253,253
1324,254,253,253,253
1325,254,253,253,253
1326,254,253,253,253
1327,254,253,253,253
1328,255,253,253,253
1329,255,253,253,253
1330,255,253,253,253
1331,255,253,253,253
1332,255,253,253,253
1333,255,253,253,253
1334,255,253,253,253
1335,255,253,253,253
1336,255,253,253,253
1337,255,253,253,253
1338,255,253,253,253
1339,255,253,253,253
1340,255,253,253,253
1341,255,253,253,253
1342,255,253,253,253
1343,255,253,253,253
1344,255,253,253,253
1345,255,253,253,253
1346,255,253,253,253
1347,255,253,253,253
1348,255,253,253,253
1349,255,253,253,253
1350,254,253,253,253
1351,254,253,253,253
1352,253,253,253,253
1353,251,253,253,253
